pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
24 Sex,b,24 Sex b,Radial Velocity,0,2,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,,,,,1.99,0.26,-0.38,0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,72.21,0.68,-0.68,0,6.441,0.01,0,V (Johnson),6.198,,0,5098,44,-44,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,5/14/14,Lick Observatory
24 Sex,c,24 Sex c,Radial Velocity,0,2,883,32.4,-13.8,0,2.08,0.05,-0.02,0,0.29,0.16,-0.09,0,,,,,0.86,0.35,-0.22,0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,72.21,0.68,-0.68,0,6.441,0.01,0,V (Johnson),6.198,,0,5098,44,-44,0,1.54,0.08,-0.08,0,4.9,0.08,-0.08,0,5/14/14,Lick Observatory
47 UMa,b,47 UMa b,Radial Velocity,0,3,1078,2,-2,0,2.1,0.02,-0.02,0,0.032,0.014,-0.014,0,,,,,2.53,0.07,-0.06,0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0,13.8,0.03,-0.03,0,5.05,,0,V (Johnson),4.831,,0,5892,70,-70,0,1.03,0.05,-0.05,0,1.23,,,0,5/14/14,Lick Observatory
47 UMa,c,47 UMa c,Radial Velocity,0,3,2391,100,-87,0,3.6,0.1,-0.1,0,0.098,0.047,-0.096,0,,,,,0.54,0.066,-0.073,0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0,13.8,0.03,-0.03,0,5.05,,0,V (Johnson),4.831,,0,5892,70,-70,0,1.03,0.05,-0.05,0,1.23,,,0,5/14/14,Lick Observatory
47 UMa,d,47 UMa d,Radial Velocity,0,3,14002,4018,-5095,0,11.6,2.1,-2.9,0,0.16,0.09,-0.16,0,,,,,1.64,0.29,-0.48,0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0,13.8,0.03,-0.03,0,5.05,,0,V (Johnson),4.831,,0,5892,70,-70,0,1.03,0.05,-0.05,0,1.23,,,0,5/14/14,Lick Observatory
55 Cnc,b,55 Cnc b,Radial Velocity,0,5,14.65152,0.00015,-0.00015,0,0.115227,0.000001,-0.000001,0,0.0034,0.0032,-0.0032,0,90,,,0,0.8306,0.0033,-0.0033,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,10/29/14,Lick Observatory
55 Cnc,c,55 Cnc c,Radial Velocity,0,5,44.4175,0.0073,-0.0073,0,0.241376,0.000026,-0.000026,0,0.02,0.031,-0.031,0,90,,,0,0.1714,0.0055,-0.0055,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,10/29/14,McDonald Observatory
55 Cnc,d,55 Cnc d,Radial Velocity,0,5,4825,39,-39,0,5.503,0.03,-0.03,0,0.019,0.013,-0.013,0,90,,,0,3.878,0.068,-0.068,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,10/29/14,Lick Observatory
55 Cnc,e,55 Cnc e,Radial Velocity,0,5,0.736539,0.000007,-0.000007,0,0.01544,0.00009,-0.00009,0,,,,0,83.3,0.9,-0.8,0,0.02542,0.00098,-0.00098,0,Mass,0.17,0.007,-0.007,0,6.4,0.8,-0.7,0,0,0,0,1,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,1/31/19,McDonald Observatory
55 Cnc,f,55 Cnc f,Radial Velocity,0,5,262,0.51,-0.51,0,0.788,0.001,-0.001,0,0.305,0.075,-0.075,0,90,,,0,0.141,0.012,-0.012,0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,12.59,0.01,-0.01,0,5.96,0.01,0,V (Johnson),5.714,,0,5196,24,-24,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,10/29/14,Multiple Observatories
61 Vir,b,61 Vir b,Radial Velocity,0,3,4.215,0.0006,-0.0006,0,0.050201,0.000005,-0.000005,0,0.12,0.11,-0.11,0,,,,,0.016,0.002,-0.002,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,8.51,0.02,-0.02,0,4.74,,0,V (Johnson),4.477,,0,5577,33,-33,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,5/14/14,Multiple Observatories
61 Vir,c,61 Vir c,Radial Velocity,0,3,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,0,0.14,0.06,-0.06,0,,,,,0.057,0.003,-0.003,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,8.51,0.02,-0.02,0,4.74,,0,V (Johnson),4.477,,0,5577,33,-33,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,5/14/14,Multiple Observatories
61 Vir,d,61 Vir d,Radial Velocity,0,3,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0,0.35,0.09,-0.09,0,,,,,0.072,0.008,-0.008,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,8.51,0.02,-0.02,0,4.74,,0,V (Johnson),4.477,,0,5577,33,-33,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,5/14/14,Multiple Observatories
BD+20 2457,b,BD+20 2457 b,Radial Velocity,0,2,379.63,2,-2,0,1.05,0.07,-0.07,0,0.15,0.03,-0.03,0,,,,0,55.59,78.55,-78.55,0,Msini,,,,0,,,,0,0,0,0,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,1670.85,222.63,-222.63,0,1670.85,222.63,-222.63,0,9.75,,0,V (Johnson),9.227,,0,4259,64,-64,0,10.83,22.96,-22.96,0,71.02,73.63,-73.63,0,9/6/18,McDonald Observatory
BD+20 2457,c,BD+20 2457 c,Radial Velocity,0,2,621.99,10.2,-10.2,0,2.01,,,0,0.18,0.06,-0.06,0,,,,,12.47,,,0,Msini,,,,,,,,,0,0,0,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,1670.85,222.63,-222.63,0,1670.85,222.63,-222.63,0,9.75,,0,V (Johnson),9.227,,0,4259,64,-64,0,10.83,22.96,-22.96,0,71.02,73.63,-73.63,0,5/14/14,McDonald Observatory
BD-06 1339,b,BD-06 1339 b,Radial Velocity,0,2,3.8728,0.0004,-0.0004,0,0.0428,0.0007,-0.0007,0,0,,,0,,,,,0.027,0.004,-0.004,0,Msini,,,,,,,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,0.02,-0.02,0,20.28,0.02,-0.02,0,9.7,0.009,0,V (Johnson),9.107,,0,4324,100,-100,0,0.7,,,0,,,,,5/14/14,La Silla Observatory
BD-06 1339,c,BD-06 1339 c,Radial Velocity,0,2,125.94,0.44,-0.44,0,0.435,0.007,-0.007,0,0.31,0.11,-0.11,0,,,,,0.17,0.03,-0.03,0,Msini,,,,,,,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,0.02,-0.02,0,20.28,0.02,-0.02,0,9.7,0.009,0,V (Johnson),9.107,,0,4324,100,-100,0,0.7,,,0,,,,,5/14/14,La Silla Observatory
BD-08 2823,b,BD-08 2823 b,Radial Velocity,0,2,5.6,0.02,-0.02,0,0.06,0,0,0,0.15,0.15,-0.15,0,,,,0,0.04,0.01,-0.01,0,Msini,,,,0,,,,0,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,41.38,0.07,-0.07,0,41.38,0.07,-0.07,0,9.88,0.043,0,V (Johnson),9.503,,0,4816,114,-114,0,0.5,0.26,-0.26,0,0.71,0.04,-0.04,0,9/6/18,La Silla Observatory
BD-08 2823,c,BD-08 2823 c,Radial Velocity,0,2,237.6,1.5,-1.5,0,0.68,0.02,-0.02,0,0.19,0.09,-0.09,0,,,,,0.33,0.03,-0.03,0,Msini,,,,,,,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,41.38,0.07,-0.07,0,41.38,0.07,-0.07,0,9.88,0.043,0,V (Johnson),9.503,,0,4816,114,-114,0,0.5,0.26,-0.26,0,0.71,0.04,-0.04,0,5/14/14,La Silla Observatory
CoRoT-20,b,CoRoT-20 b,Transit,0,2,9.24285,0.0003,-0.0003,0,0.09,0.002,-0.002,0,0.59,0.02,-0.02,0,88.21,0.53,-0.53,0,4.3,0.2,-0.2,0,Mass,,,,0,,,,0,0,0,0,1,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,864.31,24.46,-24.46,0,864.31,24.46,-24.46,0,14.66,,0,V (Johnson),14.469,,0,,,,0,1.14,0.08,-0.08,0,,,,0,7/19/18,CoRoT
CoRoT-20,c,CoRoT-20 c,Radial Velocity,0,2,1675,19,-17,0,2.9,0.07,-0.07,0,0.6,0.03,-0.03,0,,,,0,17,1,-1,0,Msini,,,,0,,,,0,0,0,0,0,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,864.31,24.46,-24.46,0,864.31,24.46,-24.46,0,14.66,,0,V (Johnson),14.469,,0,,,,0,1.14,0.08,-0.08,0,,,,0,7/19/18,Multiple Observatories
CoRoT-24,b,CoRoT-24 b,Transit,0,2,5.1134,0.0006,-0.0006,0,0.056,0.002,-0.002,0,0,,,0,86.5,2,-2,0,0.018,,,1,Mass,0.33,0.04,-0.04,0,0.9,,,1,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600,70,-70,0,601.22,16.02,-16.02,0,,,,,15.18,,0,4950,150,-150,0,0.91,0.09,-0.09,0,0.86,0.09,-0.09,0,5/31/18,CoRoT
CoRoT-24,c,CoRoT-24 c,Transit,0,2,11.759,0.0063,-0.0063,0,0.098,0.003,-0.003,0,0,,,0,89,1,-1.6,0,0.088,0.035,-0.035,0,Mass,0.44,0.04,-0.04,0,1.3,0.5,-0.4,0,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600,70,-70,0,601.22,16.02,-16.02,0,,,,,15.18,,0,4950,150,-150,0,0.91,0.09,-0.09,0,0.86,0.09,-0.09,0,6/11/14,CoRoT
CoRoT-7,b,CoRoT-7 b,Transit,0,2,0.85359163,0.00000001,-0.00000001,0,,,,0,0,,,0,80.1,0.3,-0.3,0,0.01,0,0,0,Mass,0.15,0.01,-0.01,0,,,,0,0,0,0,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,160.64,0.91,-0.91,0,160.64,0.91,-0.91,0,11.668,0.008,0,V (Johnson),11.524,,0,5275,75,-75,0,0.82,0.17,-0.17,0,0.83,0.04,-0.04,0,12/6/18,CoRoT
CoRoT-7,c,CoRoT-7 c,Radial Velocity,0,2,3.698,0.003,-0.003,0,0.046,,,0,0,,,0,80,,,0,0.02643,0.00283,-0.00283,0,Mass,,,,,,,,,0,0,0,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,160.64,0.91,-0.91,0,160.64,0.91,-0.91,0,11.668,0.008,0,V (Johnson),11.524,,0,5275,75,-75,0,0.82,0.17,-0.17,0,0.83,0.04,-0.04,0,9/10/15,CoRoT
K2-166,c,EPIC 201615463 c,Transit,0,2,3.80464,0.00091,-0.00105,0,,,,0,,,,0,,,,0,,,,0,,0.109,0.019,-0.015,0,,,,0,0,0,1,0,12h20m45.19s,185.188293,+02d16m56.8s,2.282436,481,9.7,-8.9,0,483.38,9.69,-9.69,0,12.074,0.01,0,V (Johnson),11.946,,0,,,,0,1.07,0.03,-0.03,0,,,,0,6/13/19,K2
K2-16,d,EPIC 201754305 d,Transit,0,3,2.71578,0.00031,-0.00031,0,,,,0,,,,0,,,,0,,,,0,,0.092,0.008,-0.008,0,,,,0,0,0,1,0,11h40m23.34s,175.09726,+04d33m26.4s,4.55734,338.19,4.23,-4.23,0,338.19,4.23,-4.23,0,14.67,0.04,0,V (Johnson),14.323,,0,,,,0,0.67,0.03,-0.04,0,,,,0,6/13/19,K2
K2-50,c,EPIC 201833600 c,Transit,0,2,3.96151,0.00046,-0.00051,0,,,,0,,,,0,,,,0,,,,0,,0.089,0.011,-0.01,0,,,,0,0,0,1,0,11h17m56.07s,169.483627,+05d59m18.2s,5.988378,259.33,3.26,-3.26,0,259.33,3.26,-3.26,0,14.717,0.05,0,V (Johnson),14.258,,0,,,,0,0.61,0.06,-0.06,0,,,,0,6/13/19,K2
K2-168,c,EPIC 205950854 c,Transit,0,2,8.0468,0.0024,-0.0025,0,,,,0,,,,0,,,,0,,,,0,,0.105,0.012,-0.009,0,,,,0,0,0,1,0,22h12m26.37s,333.109894,-16d20m30.3s,-16.341755,245.56,4.19,-4.19,0,245.56,4.19,-4.19,0,12.291,0.01,0,V (Johnson),12.098,,0,,,,0,0.91,0.03,-0.03,0,,,,0,6/13/19,K2
K2-282,c,EPIC 220554210 c,Transit,0,2,0.70531,0.00005,-0.00005,0,,,,0,,,,0,,,,0,,,,0,,0.132,0.012,-0.009,0,,,,0,0,0,1,0,00h53m43.68s,13.432017,+07d59m43.1s,7.995316,502.28,7.77,-7.77,0,503.46,7.95,-7.95,0,14.042,0.036,0,V (Johnson),13.818,,0,,,,0,0.94,0.04,-0.04,0,,,,0,6/13/19,K2
EPIC 220674823,b,EPIC 220674823 b,Transit,0,2,0.571331,0.00002,-0.000021,0,0.0134,0.0002,-0.0002,0,,,,0,,,,0,,,,0,,0.162,0.009,-0.009,0,,,,0,0,0,1,1,00h52m19.15s,13.07978,+10d47m40.9s,10.794699,246.1,2.97,-2.97,0,246.29,3.03,-3.03,0,12.102,0.212,0,V (Johnson),11.954,,0,5617,86,-86,0,0.97,0.04,-0.04,0,0.98,0.02,-0.02,0,10/26/18,K2
EPIC 220674823,c,EPIC 220674823 c,Transit,0,2,13.339079,0.00194,-0.001859,0,0.1091,0.0014,-0.0015,0,,,,0,,,,0,,,,0,,0.244,0.016,-0.016,0,,,,0,0,0,1,1,00h52m19.15s,13.07978,+10d47m40.9s,10.794699,246.1,2.97,-2.97,0,246.29,3.03,-3.03,0,12.102,0.212,0,V (Johnson),11.954,,0,5617,86,-86,0,0.97,0.04,-0.04,0,0.98,0.02,-0.02,0,10/26/18,K2
GJ 1132,b,GJ 1132 b,Transit,0,2,1.628931,0.000027,-0.000027,0,0.0153,0.0005,-0.0005,0,0.22,,,1,,,,0,0.00522,0.00072,-0.00072,0,Mass,,,,0,6.3,1.3,-1.3,0,0,0,0,2,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,12.62,0.01,-0.01,0,12.62,0.01,-0.01,0,13.49,0.03,0,V (Johnson),12.138,,0,3270,140,-140,0,0.18,0.02,-0.02,0,0.21,0.01,-0.01,0,6/21/18,Cerro Tololo Inter-American Observatory
