pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
GJ 1132,c,GJ 1132 c,Transit,0,2,8.929,0.01,-0.01,0,0.0476,0.0017,-0.0017,0,0.27,,,1,,,,0,0.00831,0.00138,-0.00138,0,Msini,,,,0,,,,0,0,0,0,1,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,12.62,0.01,-0.01,0,12.62,0.01,-0.01,0,13.49,0.03,0,V (Johnson),12.138,,0,3270,140,-140,0,0.18,0.02,-0.02,0,0.21,0.01,-0.01,0,6/21/18,La Silla Observatory
GJ 1148,b,GJ 1148 b,Radial Velocity,0,2,41.38,0.002,-0.001,0,0.166,0.001,-0.001,0,0.38,0.01,-0.012,0,,,,0,0.30425,0.00444,-0.00321,0,Msini,,,,0,,,,0,0,0,0,0,11h41m44.63s,175.435974,+42d45m07.1s,42.751972,11.02,0.01,-0.01,0,11.02,0.01,-0.01,0,11.92,0.02,0,V (Johnson),10.577,,0,3264,,,0,0.35,,,0,0.4,,,0,10/19/17,W. M. Keck Observatory
GJ 1148,c,GJ 1148 c,Radial Velocity,0,2,532.58,4.14,-2.52,0,0.912,0.005,-0.002,0,0.342,0.05,-0.062,0,,,,0,0.21414,0.01545,-0.00689,0,Msini,,,,0,,,,0,0,0,0,0,11h41m44.63s,175.435974,+42d45m07.1s,42.751972,11.02,0.01,-0.01,0,11.02,0.01,-0.01,0,11.92,0.02,0,V (Johnson),10.577,,0,3264,,,0,0.35,,,0,0.4,,,0,10/19/17,Calar Alto Observatory
GJ 143,b,GJ 143 b,Transit,0,2,35.61253,0.0006,-0.00062,0,0.1915,0.0058,-0.0063,0,0.188,0.076,-0.078,0,89.33,0.15,-0.11,0,0.07142,0.00692,-0.00598,0,Mass,0.233,0.015,-0.014,0,7,1.6,-1.3,0,0,0,0,1,03h26m59.22s,51.746769,-63d29m56.8s,-63.4991,16.33,0.01,-0.01,0,16.33,0.01,-0.01,0,7.87,,0,V (Johnson),7.679,,0,4640,100,-100,0,0.73,0.07,-0.07,0,0.69,0.03,-0.03,0,4/25/19,Transiting Exoplanet Survey Satellite (TESS)
GJ 163,b,GJ 163 b,Radial Velocity,0,3,8.63182,0.00155,-0.00155,0,0.0607,0.00001,-0.00001,0,0.073,0.05,-0.05,0,,,,,0.03335,0.00189,-0.00189,0,Msini,,,,,,,,,0,0,0,0,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,15.14,0.01,-0.01,0,15.14,0.01,-0.01,0,11.81,0.014,0,V (Johnson),10.677,,0,3500,100,-100,0,0.4,0.02,-0.02,0,,,,,1/26/17,La Silla Observatory
GJ 163,c,GJ 163 c,Radial Velocity,0,3,25.63058,0.0255,-0.0255,0,0.1254,0.0001,-0.0001,0,0.099,0.086,-0.086,0,,,,,0.0214,0.00283,-0.00283,0,Msini,,,,,,,,,0,0,0,0,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,15.14,0.01,-0.01,0,15.14,0.01,-0.01,0,11.81,0.014,0,V (Johnson),10.677,,0,3500,100,-100,0,0.4,0.02,-0.02,0,,,,,1/26/17,La Silla Observatory
GJ 163,d,GJ 163 d,Radial Velocity,0,3,603.95116,7.55862,-7.55862,0,1.0304,0.0086,-0.0086,0,0.373,0.077,-0.077,0,,,,,0.0925,0.00912,-0.00912,0,Msini,,,,,,,,,0,0,0,0,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,15.14,0.01,-0.01,0,15.14,0.01,-0.01,0,11.81,0.014,0,V (Johnson),10.677,,0,3500,100,-100,0,0.4,0.02,-0.02,0,,,,,1/26/17,La Silla Observatory
GJ 273,b,GJ 273 b,Radial Velocity,0,2,18.6498,0.0059,-0.0052,0,0.091101,0.000019,-0.000017,0,0.1,0.09,-0.07,0,,,,,0.00909,0.00085,-0.00082,0,Msini,,,,,,,,,0,0,0,0,07h27m24.50s,111.852081,+05d13m32.8s,5.225785,3.8,0.02,-0.02,0,,,,,9.872,,0,V (Johnson),,,,3382,49,-49,0,0.29,,,0,0.29,0.03,-0.03,0,3/30/17,La Silla Observatory
GJ 273,c,GJ 273 c,Radial Velocity,0,2,4.7234,0.0004,-0.0004,0,0.036467,0.000002,-0.000002,0,0.17,0.13,-0.12,0,,,,,0.00371,0.0005,-0.0005,0,Msini,,,,,,,,,0,0,0,0,07h27m24.50s,111.852081,+05d13m32.8s,5.225785,3.8,0.02,-0.02,0,,,,,9.872,,0,V (Johnson),,,,3382,49,-49,0,0.29,,,0,0.29,0.03,-0.03,0,3/30/17,La Silla Observatory
GJ 3138,b,GJ 3138 b,Radial Velocity,0,3,1.22003,0.00006,-0.00004,0,0.0197,0.0005,-0.0005,0,0.19,0.18,-0.13,0,,,,,0.0056,0.00107,-0.00104,0,Msini,,,,,,,,,0,0,0,0,02h09m10.90s,32.295425,-16d20m22.5s,-16.339592,28.49,0.03,-0.03,0,28.49,0.03,-0.03,0,10.98,,0,V (Johnson),10.192,,0,3717,49,-49,0,0.68,,,0,0.5,0.03,-0.03,0,3/30/17,La Silla Observatory
GJ 3138,c,GJ 3138 c,Radial Velocity,0,3,5.974,0.001,-0.001,0,0.057,0.001,-0.001,0,0.11,0.11,-0.07,0,,,,,0.01315,0.00192,-0.00186,0,Msini,,,,,,,,,0,0,0,0,02h09m10.90s,32.295425,-16d20m22.5s,-16.339592,28.49,0.03,-0.03,0,28.49,0.03,-0.03,0,10.98,,0,V (Johnson),10.192,,0,3717,49,-49,0,0.68,,,0,0.5,0.03,-0.03,0,3/30/17,La Silla Observatory
GJ 3138,d,GJ 3138 d,Radial Velocity,0,3,257.8,3.6,-3.5,0,0.698,0.018,-0.019,0,0.32,0.2,-0.21,0,,,,,0.03304,0.00724,-0.00661,0,Msini,,,,,,,,,0,0,0,0,02h09m10.90s,32.295425,-16d20m22.5s,-16.339592,28.49,0.03,-0.03,0,28.49,0.03,-0.03,0,10.98,,0,V (Johnson),10.192,,0,3717,49,-49,0,0.68,,,0,0.5,0.03,-0.03,0,3/30/17,La Silla Observatory
GJ 317,b,GJ 317 b,Radial Velocity,0,2,692,2,-2,0,1.15,0.05,-0.05,0,0.11,0.05,-0.05,0,45,30,-10,0,2.5,0.7,-0.4,0,Mass,,,,,,,,,0,0,0,0,08h40m59.22s,130.24673,-23d27m22.6s,-23.456289,15.1,0.22,-0.22,0,15.2,0.01,-0.01,0,11.97,0.014,0,V (Johnson),10.754,,0,3510,50,-50,0,0.42,0.05,-0.05,0,,,,,8/27/14,W. M. Keck Observatory
GJ 317,c,GJ 317 c,Radial Velocity,0,2,5312,758,-1248,0,,,,0,0.308,0.065,-0.079,0,,,,0,1.54,1.26,-0.57,0,Msini,,,,0,,,,0,0,0,0,0,08h40m59.22s,130.24673,-23d27m22.6s,-23.456289,15.1,0.22,-0.22,0,15.2,0.01,-0.01,0,11.97,0.014,0,V (Johnson),10.754,,0,3510,50,-50,0,0.42,0.05,-0.05,0,,,,,11/29/18,W. M. Keck Observatory
GJ 3293,b,GJ 3293 b,Radial Velocity,0,4,30.5987,0.0083,-0.0084,0,0.14339,0.00003,-0.00003,0,0.06,0.04,-0.04,0,,,,,0.07406,0.00277,-0.0028,0,Msini,,,,,,,,,0,0,0,0,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,20.2,0.02,-0.02,0,20.2,0.02,-0.02,0,11.962,,0,V (Johnson),10.979,,0,3466,49,-49,0,0.42,,,0,0.4,0.03,-0.03,0,3/30/17,La Silla Observatory
GJ 3293,c,GJ 3293 c,Radial Velocity,0,4,122.6196,0.2429,-0.2371,0,0.36175,0.00048,-0.00047,0,0.11,0.1,-0.08,0,,,,,0.06636,0.0039,-0.00396,0,Msini,,,,,,,,,0,0,0,0,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,20.2,0.02,-0.02,0,20.2,0.02,-0.02,0,11.962,,0,V (Johnson),10.979,,0,3466,49,-49,0,0.42,,,0,0.4,0.03,-0.03,0,3/30/17,La Silla Observatory
GJ 3293,d,GJ 3293 d,Radial Velocity,0,4,48.1345,0.0628,-0.0661,0,0.19394,0.00017,-0.00018,0,0.12,0.13,-0.09,0,,,,,0.02391,0.0033,-0.0033,0,Msini,,,,,,,,,0,0,0,0,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,20.2,0.02,-0.02,0,20.2,0.02,-0.02,0,11.962,,0,V (Johnson),10.979,,0,3466,49,-49,0,0.42,,,0,0.4,0.03,-0.03,0,3/30/17,La Silla Observatory
GJ 3293,e,GJ 3293 e,Radial Velocity,0,4,13.2543,0.0078,-0.0104,0,0.08208,0.00003,-0.00004,0,0.21,0.2,-0.14,0,,,,,0.01032,0.00201,-0.00201,0,Msini,,,,,,,,,0,0,0,0,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,20.2,0.02,-0.02,0,20.2,0.02,-0.02,0,11.962,,0,V (Johnson),10.979,,0,3466,49,-49,0,0.42,,,0,0.4,0.03,-0.03,0,3/30/17,La Silla Observatory
GJ 3323,b,GJ 3323 b,Radial Velocity,0,2,5.3636,0.0007,-0.0007,0,0.03282,0.00054,-0.00056,0,0.23,0.11,-0.11,0,,,,,0.00636,0.00082,-0.00079,0,Msini,,,,,,,,,0,0,0,0,05h01m57.43s,75.48928,-06d56m46.5s,-6.946263,5.32,0.04,-0.04,0,5.38,0,0,0,12.22,,0,V (Johnson),10.647,,0,3159,49,-49,0,0.16,,,0,0.12,0.03,-0.03,0,3/30/17,La Silla Observatory
