grp,id,screenName,content,valence,dominance,harm,fairness
1,0,cufland,#republican party is revolting #shame on you for no gun control. You slap every Orlando victim in the face - time to lose your jobs,0,0.25,2,0.922608738
1,1,Iasthai1283,So just when the fuck ARE we supposed to talk about gun control when there's a mass shooting just about everyday in this country?,0,0.291666667,2,0.943783252
0,2,PeteToma012,"Here we go again...lets punish the over 200,000,000 law abiding gun owners because of a few morons. Fuck you and gun control",0,0.1875,2,0.586970046
0,3,BobbMessina,"@realDonaldTrump And Again, IT IS THE PROBLEM WITH GUN CONTROL!!  This Moron does not get it!!",0,0.375,2,0.46086813
1,4,SeanGrooveAddix,"@SenJohnMcCain You ignorant, decrepit Motherfucker... Give back the 7 million you accepted from the NRA. Your a contributor to gun violence.",0,0.458333333,2,0.048556878
1,5,Neutraljs1,@SpeakerRyan you are a worthless politician. This is what you are wasting time on instead of gun control. I hope you lose your seat.,0,0.479166667,2,0.901553035
0,6,davidmgfic,@piersmorgan Your an idiot! AR-15 didn't kill anyone! Islamic terrorist did. France has some of the most strict gun control didn't help them,0,0.395833333,2,0.946518605
0,7,seekeroftruth12,"@RedEyeFNC  Y'ALL NEED TOO KEEP YOUR DAM MOUTHS SHUT GUN CONTROL NOT THE ANSWER EVERYTIME THERE A SHOOTING IN THIS COUNTRY, GET OVER IT.",0.020833333,0.479166667,2,0.131526925
1,8,abby_sumi,It's a disgusting country to live in when we've become so incredibly desensitized to gun violence. Something has to change.,0.020833333,0.395833333,3,0.107186323
0,9,ScottynCarolina,Insane to think more gun laws will fix this problem!I mean how stupid really are these people!They just want OURGUNS https://t.co/4FoSwAQyba,0.020833333,0.25,2,0.30777545
1,10,nursenancy23,@marcorubio Shame on you for voting against the victims of gun violence. You WILL lose this time around. Karma's a bitch. #DisarmHate,0.020833333,0.5,2,0.807465292
0,11,MattapussKMJL,@piersmorgan gun control.. your an idiot. Take away the guns and let the black market sell unregulated guns...just like they do drugs now.,0.020833333,0.291666667,2,0.83748264
1,12,CadyKurz,how many people have to die/get injured for people to understand gun violence is a fucking issue,0.020833333,0.104166667,2,0.673794884
0,13,jenfalv,@thenation @PeteSessions  Thoughts and  prayers mean NOTHING when accompanied by  continued inaction on gun violence. Shame on you &amp; NRA!,0.020833333,0.3125,2,0.177175142
0,14,Jnnyjackpot,"Obama you A-hole, call it what is is Radical Islamic Terrorist pledging allegiance to ISIS. You jack off, it's not a matter of gun control.",0.020833333,0.458333333,3,0.415858106
0,15,Garystrr1984,@adamlambert dude take it from me who served...your an idiot!! He was terrorist and you for gun control are a lost sheep,0.020833333,0.3125,2,0.693489524
