grp,id,screenName,content,valence,dominance,harm,fairness
0,16,DennisDecarme,@timkaine WTF are u talking about. There was no gun violence dumb ass. Get the facts straight. https://t.co/MoZ6k1uWim,0.041666667,0.395833333,0,0.433857143
0,17,alexstarrs,Hey cucky crybabies - Fuck Gun Control #NoBillNoBreak https://t.co/VGOAIHznsS,0.041666667,0.479166667,0,0.720825234
1,18,coenture,"50 people. 50 people had their lives taken. I can't believe this. I am disgusted, shocked, hurt. Gun laws need changing. Now.",0.041666667,0.291666667,2,0.557291348
1,19,purpleprowess,All FOUR gun control bills fail? What the motherfuckerly hell?,0.041666667,0.104166667,2,0.735970656
0,20,timcampbell2015,If the Jackass we have in the white house thinks gun control is going stop Radical Islamic Terror Attacks he is stupid as hell...,0.041666667,0.270833333,2,0.638139961
1,21,tkhiss68,"@samsteinhp But, sadly, nothing ever changes. Just the body count from gun violence. We are a stupid, stupid nation out to destroy ourself.",0.041666667,0.0625,2,0.227251252
1,22,brendancanty,Blood on the hands of our recalcitrant legislators.  Cynical bastards. Gun control now. You too Bernie.,0.041666667,0.583333333,3,0.122396861
1,23,KaraElizabeth03,"@HouseGOP You should be ashamed of yourselves. What a spineless, selfish bunch. Please, come to your senses, and vote for gun control.",0.041666667,0.708333333,3,0.91589795
1,24,FollowAnnette,So many mentally ill people gain access to guns. We need gun control!!!!! It's fuckin' ridiculous...,0.041666667,0.3125,2,0.419630207
0,25,NickeyNickKane,@StephenKing War on terror? Down. Obama Care? Failure. Second Amendment rights? Down. Taxes? Up. I don't know if u would say thanks.,0.041666667,0.5,2,0.569169057
1,26,loganemok,Sad to hear about Orlando. Once again they'll shoot down the need for gun control. We don't need it they'll say. WRONG!!!#Orlando,0.041666667,0.125,2,0.653082499
1,27,brooke_esque,"but also, i'm infuriated. stop caring more about protecting gun rights than protecting the queer community. STOP. KILLING. US.",0.041666667,0.229166667,2,0.556230031
0,28,Iamduckk,@kaleighfrancotv @CloydRivers because he supports our police officers and our second amendment? The only idiot I see here is you,0.041666667,0.354166667,2,0.901439574
0,29,goober01013,"Biden is now on the DNC;;he's a born loser ,tonites BS..is all about world domination ,NWO,,and gun control!!A fools world !!!!!",0.041666667,0.354166667,0,0.71302582
0,30,MaximumSoler,GUN CONTROL WILL CALL FOR A MASSIVE PURGE !!! ... NOT VERY WISE AT ALL !!! https://t.co/sieXNAkRVN,0.041666667,0.458333333,2,0.582786659
1,31,lehocks,@realDonaldTrump Your continued resistance to COMMON SENSE GUN CONTROL leaves blood on your hands! STOP tweeting and do something!,0.041666667,0.583333333,2,0.294168289
0,32,goober01013,More gun control is the solution to our grave Muslim problem?????Terrorists everywhere https://t.co/qFtfKLRKQq,0.041666667,0.1875,2,0.894728563
1,33,ipena24,@JSavoly @janeosanders Look at that asshole Chuy Garcia smiling while he knows damn well Chicago has the highest gun violence in the country,0.041666667,0.3125,2,0.422094316
1,34,Fae_Thee,It's easier to talk a whore into leaving her pimp than it is to discuss gun control with the NRA whores in Congress &amp; Senate #NOBILLNOBREAK,0.041666667,0.3125,2,0.34855247
0,35,Jnnyjackpot,"Obama screw you,they are Islamic terrorists that hate Americans. Don't make it about gun control or against a certain people! U R a disgrace",0.041666667,0.354166667,2,0.549809079
1,36,Ruchi_Rani,Sickened by what happened in Orlando. 2 acts of violence not even days apart. Yet America still doesn't want gun control? #PrayersForOrlando,0.0625,0.166666667,2,0.330439677
0,37,shana3083,"@timkaine Typical liberal, assuming every attack is gun violence... it was a ISLAMIC TERRORIST ATTACK with a car and machete.",0.0625,0.520833333,2,0.021979851
1,38,JeanneSakata,All 4 gun control measures failed. Sickened.The NRA is a rampant cancer that has devoured our Senate's conscience. https://t.co/ruX1aco00q,0.0625,0.083333333,2,0.58274814
1,39,the1rad1,Tragic fucking news. Time to get control of those gun laws America. My heart goes out to all those impacted. #LGBTQ  https://t.co/cucw3A67Dk,0.0625,0.270833333,3,0.102748704
1,40,mouthy_broad,"Lots of ""national security"" talk yet ZERO GUN CONTROL discussion. How is this a logic that follows for @GOP? It is shameful and pathetic.",0.0625,0.416666667,2,0.300841184
1,41,gagaforgaga2010,I am beyond livid at this government right now. ASSAULT RIFLES HAVE NO BUSINESS IN THE HANDS OF CIVILIANS. End gun violence NOW. #USA,0.0625,0.541666667,2,0.553958156
0,42,patricktfran,Where's that senile old shithead Clyburn?shouldnt he be lecturing Turkey about gun control?@realDonaldTrump @AnnCoulter @oreillyfactor,0.0625,0.416666667,2,0.454302844
1,43,expatbehr,@ChrisWarcraft praying is pointless. We need gun control. Fuck the @NRA,0.0625,0.375,3,0.090199392
0,44,SoJoBmanUtefan,"This guy is a Fucking tool! Yeah, because the demon Orlando shooter would follow gun laws! So blame NRA &amp; guns moron https://t.co/wa1El7OIdH",0.0625,0.395833333,2,0.455600388
1,45,KayKewVee,@SpeakerRyan SHAME ON YOU! American people want gun control! #NoBillNoBreak #HoldTheFloor #Dems,0.0625,0.5625,2,0.683503187
0,46,sarahwetley,"@FoxNews he had to sneak in BLM, gun control among other things. It's really disgusting. This was not the time or place for it.",0.0625,0.291666667,0,0.572782788
0,47,CCollin44,"Liberals stay the hell away, no one needs your gun control input.",0.0625,0.354166667,0,0.703876081
0,48,JEREMYOTTO9,Fuck your gun control 🇺🇸,0.0625,0.270833333,2,0.515626184
0,49,OscarRSanchez,@HillaryClinton @CNN  Act on Islamic Terrorism!! Idiot! Terrorists will get Guns in the Black Market! Gun control=Cover up for failure!,0.0625,0.583333333,2,0.850981559
1,50,angelaxrose,"I am horrified, and I am so, so tired. This is sickening. Why is gun control still a debate? What are we waiting for?  #PulseShooting",0.0625,0.145833333,2,0.295618283
1,51,kstrucks,"For the love of God, get out of your house and donate blood, or raise money, do SOMETHING besides bitch about your right to own a gun rn 😡",0.0625,0.729166667,2,0.709004281
0,52,Andrew11555,Obamas such a fucking idiot. He didn't even mention that the Orlando shooting had Islamic ties. He said we need more gun control.,0.0625,0.479166667,2,0.817977156
0,53,johnmuter,#congressisbroke just listened to congressman Duffy argue about Gun Control-idiot kick them all out,0.0625,0.4375,0,0.442511257
0,54,Allied_USA,SORRY TO SAY THAT MOST CRIMES LIKE DRUGS AND GUN VIOLENCE ARE A BLACK PROBLEM.NO WONDER THEY ARE IMPRISONED AT A MUCH HIGHER RATE.GET IT???,0.0625,0.3125,2,0.853957941
1,55,mrsgregor_,Not surprised that the @NRA helped the senate block gun control but still completely DISGUSTED,0.083333333,0.208333333,2,0.261701399
1,56,Bonjougma,AGAIN? U.S. Senate vote to block gun violence prevention reforms that would keep guns out of dangerous people’s hands. Fucking twats.,0.083333333,0.4375,2,0.090936969
0,57,lisa23967,"@realDonaldTrump Completely ignoring the gun issue and ""bigging "" himself up with a bit of islamaphobia....What a complete twat ..#Orlando",0.083333333,0.354166667,2,0.156904698
0,58,JaredTomjack,"Gun control laws are about as meaningful as a shit flavored lollipop.  It takes a lost individual to cause harm, not the weapon itself.",0.083333333,0.541666667,2,0.964678188
0,59,sykopig,Gun control is bullshit!!!    https://t.co/kQjfnov1PI,0.083333333,0.354166667,0,0.338970122
0,60,kevinburger72,@GretchenCarlson Done with u. Wasn't even an AR15. Gun control in Chicago doesn't stop the criminals from getting guns. 1600+ dead this yr.,0.083333333,0.3125,2,0.397952361
0,61,EliQRoberts,"@jakeroberts84 Her lies especially when talking about guns &amp; ""common sense gun control"" only passes on falsified info! I don't trust anyone!",0.083333333,0.291666667,2,0.482002572
1,62,nyrhtakk,The increasing gun violence over the last year has just made me numb. And now it's at home; all of the hurt &amp; heartbreak is pouring out,0.083333333,0.145833333,2,0.895110322
0,63,HutchersonMolly,"It's not the gun laws, it's the damn terrorists @BarackObama is allowing into our country #peoplekillpeople",0.083333333,0.416666667,2,0.338427896
1,64,PrincessClur,@realDonaldTrump needs to get my city out of his mouth.  He doesn't care about the people dying from gun violence.  He doesn't care.,0.083333333,0.229166667,2,0.286371347
0,65,timcampbell2015,Democrats are stupid if they think gun control is going to stop these shootings. Terrorist will get guns if they want them. Wake the hell up,0.083333333,0.4375,2,0.12408234
1,66,jeremyjtaylor,@DailyMail as they should. The NRA is an extremist organization that has caused countless deaths by their interference in sensible gun laws,0.083333333,0.520833333,2,0.495745535
1,67,PrincessClur,I am outraged that the senate will not pass a new law about gun control. This blood is on their hands. #Enough,0.083333333,0.458333333,2,0.082684914
0,68,swingnhammer35,@CBSNews @POTUS undermind &amp; judge our officers w/o all the facts in presser then a tragedy happens &amp; u call 4 gun control! U R a disgrace!!,0.083333333,0.395833333,2,0.585032229
0,69,freddy_vall,"I'm a Young, Tax-hating, Second amendment loving, Capitalist, Cuban, Catholic, Conservative Republican and my liberal peers sicken me #Trump",0.083333333,0.333333333,0,0.460759811
1,70,NicolaMLola,It's sad to live in a country where this is normal. No other Western country has mass shootings like this. Gun reform now. #EndGunViolence,0.083333333,0.458333333,3,0.48679626
1,71,emilysmusic26,This is just so sad and shocking to hear. RIP @TheRealGrimmie Gun violence needs to end NOW!! #PrayForChristina #RIPChristinaGrimmie,0.083333333,0.291666667,2,0.688490603
0,72,jbairdjr,@aAlanGrayson is complete moron. That gun didn’t leap into the Muslim terrorists hands https://t.co/gTF7bMmPJT,0.083333333,0.291666667,2,0.920614344
0,73,Micha3lWittmann,"How about 'overly simplistic' gun bans, you stupid diversity hire? Vet your own employees first--terr worked for DHS https://t.co/plObVmSdsl",0.083333333,0.375,0,0.283578763
0,74,sexy_sumpter,"The reason why Obama blames the Orlando shooting on gun control is because him, just like the shooter, is a terrorist. #weneedTrump",0.104166667,0.458333333,2,0.056185417
0,75,MarkDes813,@MegGerrish @FLGovScott @orlandohealth @FSU_Football yes because gun control will keep the idiots from killing people! Not!! Ur dumb,0.104166667,0.375,2,0.76347346
0,76,MarkDes813,People whom keeps saying Gun control must be Killary supporters!! It wont work#guncontrol,0.104166667,0.354166667,2,0.680748276
0,77,tj56rrbdg2,"Obama legacy-  8 years: blaming previous admin., vacation, apologizing to other countries screwing us, actions increased gun violence -WOW!",0.104166667,0.270833333,2,0.323294059
0,78,ChitownDagger,"This #DNC is a joke! There has been more talk about gun violence and pointless ""movements"" than our nations security from terrorism! #joke",0.104166667,0.416666667,2,0.70556317
1,79,grandduchesspf,I'm so mad this am I am shaking.  I want to do something but what? I don't want this to fade into the background. I want gun control. I want,0.104166667,0.291666667,2,0.191313432
1,80,netski66,@JanelleMonae Where's that statistic from? Sounds legit. &amp; scary &amp; stupid &amp; sad. Why is it so hard for US Govt to change gun ownership laws?,0.104166667,0.125,2,0.405659996
1,81,abccbrooks,@cidmartinn22 I'm tired of peoples vacation pictures and their stupid views on politics and gun control. I'm irritated.,0.104166667,0.291666667,0,0.833526788
0,82,swingnhammer35,@foxandfriends im sure criminals will drop there guns just cuz matt damon spoke? What a joke! Look @ Ca or Chi &amp; tell me gun laws work#idiot,0.104166667,0.395833333,2,0.132764175
0,83,RipHughes,@BostonForTrump civil war a bunch of gun fearing cowards against millions of law abiding gun owners? Seriously? #Hillaryisdelusional,0.104166667,0.4375,2,0.693201044
1,84,AnnMKrantz,Yesterday people laughed at survivors of gun violence during testimony against SB12. UNACCEPTABLE. No on SB 12 #nhleg #nhpolitics,0.104166667,0.479166667,2,0.362223266
1,85,KevinMacTweets,This is so disturbing. It's hard to feel safe anywhere these days. Terrible gun control is an embarrassment for USA. https://t.co/iLsif7fehX,0.104166667,0.041666667,2,0.221080597
1,86,Ellen1514,"America is viewed as nothing but a joke around the world - racial gun violence, Trump for president, a volatile rape culture etc.",0.104166667,0.145833333,2,0.74585246
1,87,kaneeka_k,How many more shootouts will it take before congress allows gun control laws to be passed????!!!!!!,0.104166667,0.25,2,0.478743322
1,88,KatelynJJackson,So did all the GOP Senators really just block EVERY attempt at gun control? When will the senseless deaths be ENOUGH?!,0.104166667,0.3125,2,0.210958975
1,89,untidyclan,@HuffingtonPost People like this that makes it easier for me to support strict gun control. How many years is this idiot gonna get?,0.104166667,0.3125,3,0.924745556
0,90,BlkRobeRegiment,Guess what it was a gun free zone! Your unconstitutional gun laws are getting innocent people killed @TheDemocrats You're guilty #themedia,0.104166667,0.479166667,2,0.396548557
0,91,evanjeastman,@TuckerCarlson this gun control clown is killing me with his senselessness. Shut him DOWN. AR15 same as class 3... #moronic,0.104166667,0.395833333,2,0.788451593
1,92,IsisWisdom1,@SheriffClarke @realDonaldTrump COMPLETELY WRONG &amp;total lie! @nytimesphoto taken during January speech condemning gun violence @dougmillsnyt,0.104166667,0.3125,2,0.980456342
1,93,Amyyyychen,.@SpeakerRyan: the gun violence bill you're allowing a vote on is a sham. #DisarmHate and vote on meaningful common sense gun laws NOW!,0.104166667,0.770833333,2,0.349882556
1,94,JointActionComm,.@SpeakerRyan: the gun violence bill you're allowing a vote on is a sham. #DisarmHate and vote on meaningful common sense gun laws NOW!,0.104166667,0.770833333,3,0.021436318
0,95,OfficalMoathon,@nexxylove burns flag: TAKE AWAY THEIR FIRST AMENDMENT RIGHTS; Shoots up a gay club: SECOND AMENDMENT RIGHTS GUNS DONT KILL PEOPLE,0.104166667,0.354166667,2,0.658956614
0,96,ya_boy_trey2,"Today is a dark day in Orlando, and those using this as a platform to cry for gun control is disgusting. I'm sure the terrorist who did this",0.104166667,0.083333333,2,0.258990114
0,97,AshleyNBurgess5,"Gun control bullshit again, trying to make people feel bad for having gun, won't work. Try again, or tell the truth. https://t.co/G96B5tibzF",0.104166667,0.395833333,2,0.806201519
1,98,amyuncorked,"Just got back home to see that Jo Cox died. Horrific murder, senseless tragedy &amp; terrifying example of gun violence in the UK.",0.104166667,0.270833333,2,0.904746146
0,99,tonys720,@MMFlint needs to shut up about gun control. It is your left wing gun nuts who been doing the mass shootings!,0.104166667,0.5,2,0.345837989
0,100,Ericwp5,"@EmmaKennedy and the entire Democratic Party hasn't done the same l, using every mass tragedy as a public claim for gun control!! #douche",0.104166667,0.354166667,2,0.545024259
0,101,maryriggi,It's not about gun control or about a hate crime!! Its radical Islam  terror!! Wake up stupid people!!!,0.104166667,0.416666667,2,0.550660732
0,102,SOTWIFUNNY,&gt;don't support gun control &gt;what are u gai&gt; why wouldn't you want a reason to shoot the weeb ass government when they come to your doorstep?,0.104166667,0.4375,2,0.36372742
0,103,bobkeogh,Mass shooting &gt; 50 dead &gt; Pray for City X &gt; no change to gun laws &gt; Cycle &gt; Repeat,0.104166667,0.1875,2,0.881157924
1,104,JuliaGeist,... This is exhausting. Literally shedding tears.⚡️ “All four gun control bills fail on Senate floor”https://t.co/TRGmpZK1la,0.104166667,0.25,2,0.895057225
0,105,c_peavy1,"Trump supporter AND a Muslim, for gun control and mental health care? Get the heck out of here! THE MOST idiotic statement, ever! https://t.co/AoiB1UJQgE",0.104166667,0.541666667,2,0.401012752
0,106,cooptenn,"Know this, all the Demtards wanting gun control are all protected by men with guns. Double standard much?? #youwillnottakemy2nd",0.104166667,0.458333333,3,0.29054023
0,107,timcampbell2015,It's like you have to be stupid to be a politician. They think gun control is going to stop these killings. Killers don't buy guns legally.,0.104166667,0.270833333,2,0.520409622
0,108,KEVIN_639,"@NancyPelosi None of you gun legislation has any common sense about it, you seek to trample our 2nd and 5th Amendment rights @SpeakerRyan",0.104166667,0.354166667,2,0.560651277
0,109,TerryUpdike,"@FoxNews anti terrorist train everyone, comes with psych eval and proper gun handling and maybe some  lotion for his sore gun offender ass",0.104166667,0.4375,2,0.683462813
0,110,celtic_craig,@FoxNews your gun control libtards are stupid. #histroy <hashtag> self defense is personal responsibility <\hashtag>,0.104166667,0.3125,0,0.090355104
0,111,DavidUSA1210,If our lives matter so much to us why are 80% of the gun violence victims I sew up because of black on black violence 😢 #blacklivesmatter,0.104166667,0.1875,2,0.2573832
0,112,isundar,"@SpeakerHouseUS scrap gun regulation affecting people with mental disorders This falls in the realm of ""Dumb Deals""... You gotta be kidding!",0.125,0.354166667,2,0.940757978
1,113,epjacobs,So sick and tired of sanctimonious legislators just sending “thoughts and prayers.” Do your job and enact reasonable gun laws. #filibuster,0.125,0.375,3,0.988997904
1,114,CoyoteSings,"49 of my brothers and sisters dead in a hate crime in Orlando, more than that wounded. But congress will do nothing about gun reform. #LGBT",0.125,0.1875,2,0.059673032
0,115,pacheco_marcin,AND. .THEY HAVE STRICT GUN LAWS IN FRANCE. SITTING DUCKS https://t.co/y6ZtDYYm6Y,0.125,0.1875,2,0.749611146
1,116,KurtmCleary,"I'm disgusted by the dozens of republican leaders giving their ""thought and prayers"" but not giving their efforts towards stricter gun laws",0.125,0.270833333,2,0.666657882
1,117,bwadykstra,"""The FFs wouldn't recognize an AR15"" is the dumbest gun control argument.",0.125,0.3125,0,0.412854433
0,118,TheTransporder,Too many active shooters lately. Yesterday I was in #ventura around the corner from one. Gun control tho? Criminals will be criminals. 🔫,0.125,0.041666667,2,0.223635244
0,119,davidckeefer,Trump advocates looser gun lies while decrying inner city gun violence. Hypocrite! <hashtag> Republicans Arm the Inner Cities <\hashtag>,0.125,0.3125,2,0.815787799
0,120,MarkDes813,@Sneakerpimps stop with the damb gun control! Drugs are illegal and people still get them,0.125,0.375,2,0.133714679
1,121,bigpoppafire,@repjohnlewis @HillaryClinton @SpeakerRyan reckless gun violence from an Islamic terrorist...yeah blame the gun... #blindignorance,0.125,0.375,2,0.384538706
1,122,liljabroni,"""Pro life,"" but oppose gun control, anti LGBT, promote mass deportation of people to war torn countries, and deny refuge to syrians. #debate https://t.co/TuV9Nn9w4b",0.125,0.333333333,2,0.423903826
0,123,jenfalv,"@thenation @SpeakerRyan We're sick of moments of silence and ""thoughts and prayers"" we want ACTION on gun violence!  Shame on you &amp; the NRA!",0.125,0.5625,2,0.244839855
0,124,strange_niles,Barack Hussein Obama the #DriveByPOTUS ordered illegal gun sales to known criminals w/hope murders would help his gun control agenda. #NRA,0.125,0.395833333,2,0.149971984
0,125,Breydo_Santana,@schoolboiipete But niggas don't understand that tho . They think more gun violence is going to solve the problem .,0.125,0.229166667,2,0.594943644
0,126,DavidUSA1210,@nytimes Rubbish. I deal with black gun violence daily. Reporting like this is idiotic.,0.125,0.375,0,0.515999472
1,127,austinbyrdman,@DevinNunes 2/2 destruction of terrorism and not the implementation of common sense gun control. The NRA owns you. You should be ashamed.,0.125,0.395833333,2,0.220534409
0,128,Caitlin_Hannahh,Our president is oblivious to the real problem in the world right now. He just wants to push his own political agenda on gun control!,0.125,0.458333333,2,0.152015079
0,129,MScoastrat,#obama your home city has unconstitutional gun laws to prevent law abiding citizens from protecting their families while 69+ shot last w.end,0.125,0.270833333,2,0.167464329
1,130,BeHotte,Just left goodwill bc a gun walked in with a GUN in his waistband y the hell do u need a GUN in gOODWILL??!??!? https://t.co/CsRKdxOHnc,0.125,0.270833333,0,0.166145408
1,131,mkrigazio,@kellyayotte excellent article in today's Monitor calling out YOUR HYPOCRISY on gun violence legislation. How do you live w yourself?,0.125,0.333333333,2,0.640534016
0,132,GoBigRedRev,"@realDonaldTrump so what is a ""second amendment person?"" And how are they supposed to stop Clinton, exactly? #dangerous #dumb #violent",0.125,0.354166667,2,0.655591446
0,133,NTXDuckhunts,"California governor signs stringent gun bills, vetoes others https://t.co/HYVECGGaXm what a fuck wad",0.125,0.4375,2,0.14263459
0,134,MikeEMorrison,"ISIS, the ""jayvee team"" per Obama, has just claimed credit for the deadliest mass shooting on U.S. soil in history. Gun control my ass",0.125,0.479166667,2,0.529821003
1,135,valvibez,My heart hurts so much. It's hard not to despair when the second amendment is safer than people.,0.125,0.083333333,3,0.594880975
0,136,RayjaeTransCorp,"@Turkevic @cristinalaila1  keep killing Americans on our soil and all our Muslim president can talk about is gun control, abolishing guns",0.125,0.3125,2,0.420514191
0,137,kc7373,"@MaireadMcMahon @realDonaldTrump our gun laws are not the problem. Wake up America!  If it's not a gun, they will use something else. Smdh",0.125,0.395833333,0,0.892160464
0,138,Gladimir_Putin,If you are for gun control and don't know shit about guns then maybe you should keep your mouth shut. Just a tip,0.125,0.645833333,2,0.280680607
1,139,J2shevlin,How is this acceptable in this country - 50 dead? Can we do something about gun violence and hatred in this country. I am damn sickened.,0.125,0.041666667,3,0.359220258
0,140,shububu123,"@robinlundberg it's not a gun problem idiot, it's an Islamic terrorism problem",0.125,0.458333333,0,0.047314835
1,141,LuzBorrero3,Shame on those who use the second amendment as a misguided excuse to sell assault weapons to murderers.,0.125,0.291666667,2,0.601124357
0,142,itsyaboybert,"2nd amendment was created before assault rifles were a thing. Stop bitching about ""losing your rights"" and embrace necessary gun control",0.125,0.645833333,3,0.357953742
1,143,hey__nikki,We keep letting this shit happen. How many more deaths before we enact serious gun control. @NRA #OrlandoShooting,0.125,0.291666667,2,0.071718517
0,144,tglank,"@stephenLweiss bad rational and logic, give up the second amendment and then we will begin to lose other rights! Do not underestimate evil!",0.125,0.291666667,2,0.625558806
0,145,celtic_craig,@WSJ HEY GUN CONTROL LIBTARDIANS. Looks like a GREAT OPPORTUNITY to live somewher gun free! MOVE TO KOREA.,0.125,0.5625,2,0.985060315
0,146,Kenne541,"@tbhbeanz gun laws only hurt honest gun owners. Maybe the libtards can start allowing the crazies to be locked up instead of ""rehabing"" them",0.125,0.354166667,2,0.54689164
1,147,amy_thinks,"I have to call BS on this.  Almost NO ONE in an elected office will vote for gun control, even for the mentally ill. https://t.co/6p8BuhW1gF",0.125,0.416666667,0,0.972796634
0,148,MiloNickels,"After 8 years of trying to destroy the second amendment, #liberals are suddenly worried about #Trump ignoring the Constitution.#SMMFH",0.125,0.333333333,0,0.507035303
1,149,blackaussie1,"They betta NOT use the son of #AltonSterling as a spokesperson for gun violence, anti police rhetoric! Da fuq?! 😒",0.125,0.3125,2,0.119397283
0,150,erick_idey,If there's gonna be a debate on gun control can we at least have basic gun knowledge or vocab? This is for both sides you all sound stupid.,0.125,0.520833333,1,0.867132089
0,151,ThirdAridDream,House democrats staging a sit in for gun control vote. An absolute disgrace imho. They dare to protest to curtail rights. Schmucks. Fools.,0.125,0.6875,2,0.339564541
0,152,LiberalsEatAss,"@JustinWinikoff no with gun control, the officer who shot wouldn't have had a gun and more people would've got stabbed? You can't b serious",0.125,0.4375,3,0.915805288
1,153,daretorant,".@dabogda that, or guilt from knowing @nra’s corrupt influence on Congress prevents any kind of rational safeguards against gun violence…",0.145833333,0.375,2,0.931975191
0,154,kriistiinnnnx,cut the shit with gun control.. guns aren't the problem,0.145833333,0.333333333,0,0.646254085
0,155,wppeterson,Why is Obama not asking for gun controls in Istanbul. Is it because Muslims are the ones pulling the triggers.,0.145833333,0.270833333,2,0.349171849
0,156,AmbassadorUC7,@realDonaldTrump Your stance on gun control will make you a loser. It is a national security issue. No time for a national referendum.USMCLA,0.145833333,0.666666667,3,0.133006377
1,157,friedgabe,.@marcorubio There is blood on your hands and on the hands of every other GOP lawmaker who rejected the gun control measures. #DisarmHate,0.145833333,0.5625,2,0.440622332
0,158,tracey8oh,You're debating gun control and you reference Beyonce? You lose. Period. Shut your face.,0.145833333,0.4375,0,0.834592678
1,159,aeg1954,@HillaryClinton It is absurd that we continue blocking the CDC from studying the tragic effects of gun violence. This must change.,0.145833333,0.541666667,3,0.700323011
1,160,CurranCorey,How many more people need to be shot to death before we realize the NRA is destroying America?! We need sensible gun control NOW,0.145833333,0.458333333,2,0.114508285
0,161,JohnnyLang51,That dumb isis hippie is blaming the mass shooting on gun and white people. #StopIsis,0.145833333,0.375,2,0.87832855
1,162,BarrazaSdfjbjr,@LeaBlackMiami @HillaryClinton - I'm so pissed at the GOP!  Stop spending my $ on a witch hunt - it's over! Pass gun control NOW!!#ImWither,0.145833333,0.666666667,2,0.700375255
1,163,TammieNYC,"Banning refugees? Bringing back torture? Against common sense gun control? Newsflash: These are not ""pro-life"" values. #ResistTrump",0.145833333,0.333333333,2,0.975798052
0,164,AdamRison,"@ottehamid Get off your high horse, Obama &amp; Hillary turned Orlando into politics for gun control, it must be bliss living in ignorance.",0.145833333,0.4375,2,0.952302467
0,165,Philbo93,@AndrewWagnon I’d say it’s his fault for passing it off as if its just gun violence instead of calling it what it is. Terrorism.,0.145833333,0.291666667,2,0.312469192
0,166,ScoobaOne,"New gun laws to ""immediately"" to help Americans? Where was the immediate help when we left people stranded on roofs in Katrina?",0.145833333,0.354166667,2,0.122646461
0,167,phinsfan1,@HillaryClinton but it sure is a day to push the gun control agenda.. #shame #treason https://t.co/yLQBLER4kn,0.145833333,0.354166667,0,0.994551999
0,168,jamfixer,@cnnbrk Where is black lives matters? Now it's gun violence if blacks kill blacks. What a joke.,0.145833333,0.3125,2,0.723842364
1,169,christal_watts,1 of my 3rd grade stdnts lost his mom 2 gun violence.She was 8 mos preg w/twins who also died. How does an 8 yr old deal w/that? #filibuster,0.145833333,0.25,2,0.604328787
1,170,ROGWanerman,"Last night's shooting makes me sad for the victims, and deeply sad for the depths of gun violence and hate in the US",0.145833333,0.041666667,2,0.513599092
0,171,alhill2015,check your facts before you make this into a whiny liberal gun issue tim. jumping the gun like this is why you and killary lost! https://t.co/bx4rwDXfz0,0.145833333,0.5,2,0.843448938
1,172,GeorgeVelvet001,@dberrygannett @USATODAY stricter gun control will not stop people from dying from domestic or terrorist attacks why can't people realize?,0.145833333,0.333333333,2,0.670988369
