,idx,rule,entriesIdx,numLibTweets,numConTweets,class
10,24,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care > 0.5', 'fairness <= 1.5', 'fairness > 0.5', 'valence <= 0.2395833358168602']","[102, 213, 419, 549, 747, 784, 888, 1202, 1233, 1405, 1447, 1471, 1564, 1675, 1941, 1991, 2137, 2471, 2474, 2568, 2667, 2701, 2954, 2993, 3008, 3054]",13.0,10.0,1
11,25,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care > 0.5', 'fairness <= 1.5', 'fairness > 0.5', 'valence > 0.2395833358168602']","[0, 8, 9, 31, 93, 123, 136, 185, 284, 300, 313, 352, 388, 434, 451, 470, 516, 553, 556, 617, 619, 623, 674, 682, 705, 727, 748, 763, 806, 837, 877, 892, 900, 917, 963, 969, 1004, 1045, 1125, 1146, 1158, 1163, 1195, 1227, 1251, 1282, 1322, 1334, 1342, 1359, 1397, 1408, 1409, 1415, 1439, 1444, 1475, 1488, 1549, 1570, 1575, 1611, 1631, 1676, 1694, 1710, 1719, 1737, 1749, 1757, 1778, 1783, 1801, 1806, 1840, 1845, 1915, 1930, 2003, 2020, 2051, 2059, 2065, 2067, 2087, 2098, 2126, 2130, 2154, 2178, 2196, 2198, 2208, 2215, 2227, 2240, 2300, 2307, 2387, 2423, 2443, 2462, 2515, 2551, 2561, 2605, 2670, 2699, 2702, 2706, 2744, 2792, 2806, 2840, 2842, 2862, 2889, 2891, 2982, 3014, 3031, 3070, 3081]",78.0,25.0,1
12,28,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care > 0.5', 'fairness > 1.5', 'dominance <= 0.1770833358168602', 'valence <= 0.1770833358168602']","[291, 391, 697, 913, 944, 1013, 1247, 1628, 1633, 2164, 2591, 2618, 2960, 2985, 3011]",10.0,1.0,1
13,29,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care > 0.5', 'fairness > 1.5', 'dominance <= 0.1770833358168602', 'valence > 0.1770833358168602']","[72, 164, 208, 299, 409, 494, 734, 809, 952, 1012, 1140, 1779, 1934, 2023, 2418, 2492, 2636, 2816, 2894, 2981, 3049, 3057]",8.0,11.0,0
14,31,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care > 0.5', 'fairness > 1.5', 'dominance > 0.1770833358168602', 'dominance <= 0.40625']","[3, 6, 19, 29, 32, 48, 61, 68, 70, 75, 81, 88, 95, 97, 100, 114, 126, 127, 137, 139, 152, 158, 160, 168, 169, 174, 177, 192, 193, 195, 200, 220, 221, 226, 235, 237, 247, 276, 279, 286, 306, 339, 343, 367, 369, 376, 402, 424, 457, 460, 479, 489, 491, 492, 493, 524, 536, 541, 543, 546, 550, 565, 579, 580, 582, 587, 608, 635, 637, 641, 646, 665, 670, 678, 679, 680, 698, 704, 711, 738, 739, 746, 750, 752, 757, 759, 773, 776, 785, 787, 788, 789, 791, 792, 827, 840, 852, 858, 863, 865, 881, 885, 894, 896, 911, 926, 932, 967, 972, 976, 984, 998, 1011, 1020, 1024, 1033, 1043, 1049, 1050, 1060, 1068, 1073, 1085, 1088, 1095, 1133, 1136, 1145, 1148, 1154, 1170, 1172, 1174, 1196, 1197, 1222, 1231, 1235, 1241, 1248, 1283, 1285, 1315, 1319, 1321, 1337, 1349, 1365, 1372, 1375, 1399, 1406, 1424, 1427, 1428, 1430, 1443, 1457, 1473, 1497, 1499, 1508, 1514, 1558, 1560, 1571, 1573, 1574, 1588, 1598, 1602, 1605, 1608, 1610, 1616, 1627, 1632, 1636, 1643, 1653, 1662, 1673, 1678, 1679, 1681, 1683, 1701, 1723, 1724, 1758, 1760, 1775, 1780, 1781, 1791, 1803, 1809, 1810, 1812, 1833, 1863, 1883, 1893, 1895, 1902, 1906, 1912, 1913, 1938, 1948, 1962, 1964, 1972, 1976, 1985, 2014, 2016, 2019, 2022, 2031, 2032, 2034, 2052, 2053, 2081, 2083, 2088, 2091, 2100, 2111, 2112, 2117, 2118, 2120, 2123, 2131, 2160, 2161, 2171, 2179, 2212, 2216, 2230, 2244, 2255, 2284, 2285, 2301, 2305, 2313, 2321, 2322, 2335, 2336, 2348, 2357, 2359, 2393, 2394, 2398, 2402, 2403, 2421, 2431, 2434, 2442, 2447, 2449, 2452, 2454, 2484, 2516, 2524, 2534, 2550, 2587, 2611, 2617, 2643, 2650, 2668, 2675, 2681, 2685, 2689, 2700, 2707, 2710, 2712, 2716, 2726, 2727, 2729, 2732, 2734, 2735, 2746, 2760, 2763, 2764, 2767, 2769, 2777, 2783, 2789, 2791, 2799, 2801, 2805, 2813, 2822, 2828, 2835, 2837, 2857, 2867, 2887, 2888, 2890, 2893, 2908, 2913, 2937, 2946, 2959, 2975, 2983, 3010, 3020, 3023, 3028, 3029, 3032, 3038, 3039, 3041, 3047, 3052, 3053, 3056, 3076, 3088]",92.0,174.0,0
15,32,"['dominance <= 0.5729166567325592', 'valence <= 0.6354166567325592', 'care > 0.5', 'fairness > 1.5', 'dominance > 0.1770833358168602', 'dominance > 0.40625']","[10, 22, 24, 26, 34, 50, 56, 63, 76, 79, 86, 94, 103, 133, 149, 194, 204, 231, 236, 246, 270, 325, 331, 345, 353, 381, 393, 401, 420, 428, 442, 446, 458, 511, 547, 567, 576, 585, 586, 609, 610, 611, 629, 638, 652, 673, 676, 699, 723, 744, 756, 800, 802, 814, 815, 819, 820, 821, 823, 830, 835, 857, 893, 897, 927, 933, 938, 989, 993, 1005, 1027, 1032, 1037, 1038, 1040, 1070, 1074, 1077, 1106, 1123, 1127, 1134, 1152, 1189, 1206, 1209, 1215, 1225, 1253, 1254, 1256, 1265, 1267, 1297, 1305, 1362, 1364, 1384, 1388, 1407, 1425, 1450, 1456, 1468, 1476, 1492, 1505, 1506, 1510, 1567, 1584, 1587, 1591, 1594, 1615, 1689, 1717, 1721, 1727, 1730, 1733, 1741, 1763, 1772, 1786, 1790, 1799, 1824, 1844, 1846, 1848, 1874, 1884, 1937, 1939, 1987, 1996, 2030, 2041, 2045, 2048, 2077, 2129, 2146, 2181, 2223, 2231, 2237, 2251, 2260, 2268, 2271, 2272, 2277, 2279, 2286, 2287, 2291, 2328, 2332, 2368, 2376, 2382, 2386, 2446, 2469, 2473, 2476, 2486, 2495, 2498, 2560, 2564, 2577, 2580, 2590, 2615, 2619, 2627, 2628, 2640, 2690, 2718, 2742, 2768, 2771, 2809, 2814, 2831, 2848, 2860, 2882, 2901, 2904, 2920, 2924, 2953, 2955, 2963, 3015, 3036, 3080]",72.0,90.0,0
16,37,"['dominance <= 0.5729166567325592', 'valence > 0.6354166567325592', 'fairness <= 0.5', 'care <= 1.5', 'dominance <= 0.5520833432674408', 'valence <= 0.8229166567325592']","[17, 54, 66, 77, 119, 156, 170, 222, 257, 260, 341, 344, 355, 370, 378, 387, 390, 411, 421, 443, 459, 499, 558, 631, 681, 753, 769, 786, 799, 856, 910, 916, 920, 943, 968, 1006, 1018, 1031, 1051, 1054, 1097, 1101, 1139, 1161, 1210, 1236, 1307, 1331, 1346, 1358, 1414, 1494, 1502, 1522, 1525, 1600, 1648, 1649, 1650, 1652, 1654, 1660, 1684, 1707, 1729, 1773, 1891, 1905, 1927, 1947, 1956, 1975, 2068, 2076, 2093, 2094, 2142, 2197, 2219, 2224, 2228, 2233, 2245, 2247, 2253, 2256, 2263, 2299, 2371, 2383, 2399, 2407, 2413, 2436, 2438, 2456, 2463, 2500, 2503, 2511, 2521, 2529, 2535, 2544, 2545, 2601, 2695, 2745, 2788, 2836, 2859, 2877, 2929, 2936, 2961, 3003, 3005, 3063]",48.0,53.0,0
17,38,"['dominance <= 0.5729166567325592', 'valence > 0.6354166567325592', 'fairness <= 0.5', 'care <= 1.5', 'dominance <= 0.5520833432674408', 'valence > 0.8229166567325592']","[112, 321, 1278, 1536, 1596, 1612, 2000, 2971]",1.0,6.0,0
18,39,"['dominance <= 0.5729166567325592', 'valence > 0.6354166567325592', 'fairness <= 0.5', 'care <= 1.5', 'dominance > 0.5520833432674408']","[438, 482, 749, 1552, 1829, 1997, 2121, 2188, 2294, 2964]",0.0,6.0,0
19,42,"['dominance <= 0.5729166567325592', 'valence > 0.6354166567325592', 'fairness <= 0.5', 'care > 1.5', 'dominance <= 0.3854166716337204', 'valence <= 0.71875']",[859],1.0,0.0,1
